GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
produtos,br.com.alura.maven,App,21,0,0,0,4,0,2,0,2,0
produtos,br.com.alura.maven,produto,12,0,0,0,5,0,2,0,2,0
